Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Ocelot.UnitTests.Claims,ClaimsToClaimsMiddlewareTests,6,6,0,0,2,70,6,0,0,0,33,10,0,Ocelot.Claims.IAddClaimsToRequest' Ocelot.Claims.Middleware.ClaimsToClaimsMiddleware' Ocelot.Configuration.ClaimToThing' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Configuration.Builder.RouteBuilder' Ocelot.DownstreamRouteFinder.DownstreamRouteHolder' Ocelot.DownstreamRouteFinder.UrlMatcher.PlaceholderNameAndValue' Ocelot.Logging.IOcelotLogger' Ocelot.Logging.IOcelotLoggerFactory' Ocelot.Responses.OkResponse,
Ocelot.UnitTests.Configuration,AggregatesCreatorTests,7,12,0,0,3,131,12,0,0,0,10,0,Ocelot.Configuration.Route' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Configuration.Builder.RouteBuilder' Ocelot.Configuration.Builder.UpstreamPathTemplateBuilder' Ocelot.Configuration.Creator.AggregatesCreator' Ocelot.Configuration.Creator.IUpstreamTemplatePatternCreator' Ocelot.Configuration.File.FileAggregateRoute' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.IRoute' Ocelot.Values.UpstreamPathTemplate,
Ocelot.UnitTests.Configuration,AuthenticationOptionsCreatorTests,3,5,0,0,2,50,5,0,0,0,4,5,0,Ocelot.Configuration.AuthenticationOptions' Ocelot.Configuration.Builder.AuthenticationOptionsBuilder' Ocelot.Configuration.Creator.AuthenticationOptionsCreator' Ocelot.Configuration.File.FileAuthenticationOptions' Ocelot.Configuration.File.FileRoute,
Ocelot.UnitTests.Configuration,ClaimsToThingCreatorTests,6,10,0,0,3,83,10,0,0,0,3,9,0,Ocelot.Configuration.ClaimToThing' Ocelot.Configuration.Creator.ClaimsToThingCreator' Ocelot.Configuration.Parser.IClaimToThingConfigurationParser' Ocelot.Errors.Error' Ocelot.Logging.IOcelotLogger' Ocelot.Logging.IOcelotLoggerFactory' Ocelot.Responses.ErrorResponse<T>' Ocelot.Responses.OkResponse<T>' Ocelot.Responses.Response<T>,
Ocelot.UnitTests.Configuration,ClaimToThingConfigurationParserTests,3,9,0,0,5,95,9,0,0,0,56,9,0,Ocelot.Configuration.ClaimToThing' Ocelot.Configuration.Parser.ClaimToThingConfigurationParser' Ocelot.Configuration.Parser.IClaimToThingConfigurationParser' Ocelot.Configuration.Parser.InstructionNotForClaimsError' Ocelot.Configuration.Parser.NoInstructionsError' Ocelot.Errors.Error' Ocelot.Responses.ErrorResponse<T>' Ocelot.Responses.OkResponse<T>' Ocelot.Responses.Response<T>,
Ocelot.UnitTests.Configuration,ConfigurationCreatorTests,15,10,0,0,3,101,10,0,0,0,21,0,Ocelot.Configuration.HttpHandlerOptions' Ocelot.Configuration.HttpHandlerOptionsBuilder' Ocelot.Configuration.InternalConfiguration' Ocelot.Configuration.LoadBalancerOptions' Ocelot.Configuration.LoadBalancerOptionsBuilder' Ocelot.Configuration.QoSOptions' Ocelot.Configuration.Route' Ocelot.Configuration.ServiceProviderConfiguration' Ocelot.Configuration.Creator.ConfigurationCreator' Ocelot.Configuration.Creator.IHttpHandlerOptionsCreator' Ocelot.Configuration.Creator.ILoadBalancerOptionsCreator' Ocelot.Configuration.Creator.IQoSOptionsCreator' Ocelot.Configuration.Creator.IServiceProviderConfigurationCreator' Ocelot.Configuration.Creator.IVersionCreator' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileGlobalConfiguration' Ocelot.Configuration.File.FileHttpHandlerOptions' Ocelot.Configuration.File.FileLoadBalancerOptions' Ocelot.Configuration.File.FileQoSOptions' Ocelot.DependencyInjection.AdministrationPath' Ocelot.DependencyInjection.IAdministrationPath,
Ocelot.UnitTests.Configuration,DiskFileConfigurationRepositoryTests,9,20,0,0,7,242,26,0,0,0,8,0,Ocelot.Configuration.ChangeTracking.IOcelotConfigurationChangeTokenSource' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileGlobalConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileRoute' Ocelot.Configuration.File.FileServiceDiscoveryProvider' Ocelot.Configuration.Repository.DiskFileConfigurationRepository' Ocelot.Configuration.Repository.IFileConfigurationRepository,
Ocelot.UnitTests.Configuration,DownstreamAddressesCreatorTests,3,7,0,1,4,110,8,0,0,0,4,0,Ocelot.Configuration.DownstreamHostAndPort' Ocelot.Configuration.Creator.DownstreamAddressesCreator' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileRoute,
Ocelot.UnitTests.Configuration,DynamicsCreatorTests,8,12,0,0,3,117,12,0,0,0,10,0,Ocelot.Configuration.RateLimitOptions' Ocelot.Configuration.Route' Ocelot.Configuration.Builder.RateLimitOptionsBuilder' Ocelot.Configuration.Creator.DynamicsCreator' Ocelot.Configuration.Creator.IRateLimitOptionsCreator' Ocelot.Configuration.Creator.IVersionCreator' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileDynamicRoute' Ocelot.Configuration.File.FileGlobalConfiguration' Ocelot.Configuration.File.FileRateLimitRule,
Ocelot.UnitTests.Configuration,FileConfigurationPollerTests,8,13,0,0,7,170,13,0,0,0,14,0,Ocelot.Configuration.IInternalConfiguration' Ocelot.Configuration.Creator.IInternalConfigurationCreator' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileRoute' Ocelot.Configuration.Repository.FileConfigurationPoller' Ocelot.Configuration.Repository.IFileConfigurationPollerOptions' Ocelot.Configuration.Repository.IFileConfigurationRepository' Ocelot.Configuration.Repository.IInternalConfigurationRepository' Ocelot.Logging.IOcelotLogger' Ocelot.Logging.IOcelotLoggerFactory' Ocelot.Responses.ErrorResponse<T>' Ocelot.Responses.OkResponse<T>' Ocelot.UnitTests.Responder.AnyError,
