Testability smell,Namespace,Class,File,Cause
Excessive Dependency,Ocelot.Configuration.Parser,ClaimToThingConfigurationParser,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Parser\ClaimToThingConfigurationParser.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Configuration.ClaimToThing' Ocelot.Configuration.Parser.IClaimToThingConfigurationParser' Ocelot.Configuration.Parser.InstructionNotForClaimsError' Ocelot.Configuration.Parser.NoInstructionsError' Ocelot.Configuration.Parser.ParsingConfigurationHeaderError' Ocelot.Responses.ErrorResponse<T>' Ocelot.Responses.OkResponse<T>' Ocelot.Responses.Response<T>
Excessive Dependency,Ocelot.Configuration.Validator,FileConfigurationFluentValidator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Validator\FileConfigurationFluentValidator.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Configuration.File.FileAggregateRoute' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileRoute' Ocelot.Configuration.File.FileServiceDiscoveryProvider' Ocelot.Configuration.Validator.ConfigurationValidationResult' Ocelot.Configuration.Validator.FileGlobalConfigurationFluentValidator' Ocelot.Configuration.Validator.FileValidationFailedError' Ocelot.Configuration.Validator.IConfigurationValidator' Ocelot.Configuration.Validator.RouteFluentValidator' Ocelot.Errors.Error' Ocelot.Responses.OkResponse<T>' Ocelot.Responses.Response<T>
Global State,Ocelot.DependencyInjection,ConfigurationBuilderExtensions,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DependencyInjection\ConfigurationBuilderExtensions.cs,The tool detected the smell in this class because the class can be accessed as a `global` state.
Excessive Dependency,Ocelot.DependencyInjection,OcelotBuilder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DependencyInjection\OcelotBuilder.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Authorization.ClaimsAuthorizer' Ocelot.Authorization.IClaimsAuthorizer' Ocelot.Authorization.IScopesAuthorizer' Ocelot.Authorization.ScopesAuthorizer' Ocelot.Cache.AspMemoryCache<T>' Ocelot.Cache.CachedResponse' Ocelot.Cache.CacheKeyGenerator' Ocelot.Cache.ICacheKeyGenerator' Ocelot.Cache.IOcelotCache' Ocelot.Cache.IRegionCreator' Ocelot.Cache.RegionCreator' Ocelot.Claims.AddClaimsToRequest' Ocelot.Claims.IAddClaimsToRequest' Ocelot.Configuration.DownstreamRoute' Ocelot.Configuration.FileConfigurationController' Ocelot.Configuration.IInternalConfiguration' Ocelot.Configuration.ChangeTracking.IOcelotConfigurationChangeTokenSource' Ocelot.Configuration.ChangeTracking.OcelotConfigurationChangeTokenSource' Ocelot.Configuration.ChangeTracking.OcelotConfigurationMonitor' Ocelot.Configuration.Creator.AggregatesCreator' Ocelot.Configuration.Creator.AuthenticationOptionsCreator' Ocelot.Configuration.Creator.ClaimsToThingCreator' Ocelot.Configuration.Creator.ConfigurationCreator' Ocelot.Configuration.Creator.DownstreamAddressesCreator' Ocelot.Configuration.Creator.DynamicsCreator' Ocelot.Configuration.Creator.FileInternalConfigurationCreator' Ocelot.Configuration.Creator.HeaderFindAndReplaceCreator' Ocelot.Configuration.Creator.HttpHandlerOptionsCreator' Ocelot.Configuration.Creator.HttpVersionCreator' Ocelot.Configuration.Creator.IAggregatesCreator' Ocelot.Configuration.Creator.IAuthenticationOptionsCreator' Ocelot.Configuration.Creator.IClaimsToThingCreator' Ocelot.Configuration.Creator.IConfigurationCreator' Ocelot.Configuration.Creator.IDownstreamAddressesCreator' Ocelot.Configuration.Creator.IDynamicsCreator' Ocelot.Configuration.Creator.IHeaderFindAndReplaceCreator' Ocelot.Configuration.Creator.IHttpHandlerOptionsCreator' Ocelot.Configuration.Creator.IInternalConfigurationCreator' Ocelot.Configuration.Creator.ILoadBalancerOptionsCreator' Ocelot.Configuration.Creator.IQoSOptionsCreator' Ocelot.Configuration.Creator.IRateLimitOptionsCreator' Ocelot.Configuration.Creator.IRequestIdKeyCreator' Ocelot.Configuration.Creator.IRoutesCreator' Ocelot.Configuration.Creator.IRouteKeyCreator' Ocelot.Configuration.Creator.IRouteOptionsCreator' Ocelot.Configuration.Creator.ISecurityOptionsCreator' Ocelot.Configuration.Creator.IServiceProviderConfigurationCreator' Ocelot.Configuration.Creator.IUpstreamTemplatePatternCreator' Ocelot.Configuration.Creator.IVersionCreator' Ocelot.Configuration.Creator.LoadBalancerOptionsCreator' Ocelot.Configuration.Creator.QoSOptionsCreator' Ocelot.Configuration.Creator.RateLimitOptionsCreator' Ocelot.Configuration.Creator.RequestIdKeyCreator' Ocelot.Configuration.Creator.RouteKeyCreator' Ocelot.Configuration.Creator.RouteOptionsCreator' Ocelot.Configuration.Creator.RoutesCreator' Ocelot.Configuration.Creator.SecurityOptionsCreator' Ocelot.Configuration.Creator.ServiceProviderConfigurationCreator' Ocelot.Configuration.Creator.UpstreamTemplatePatternCreator' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.Parser.ClaimToThingConfigurationParser' Ocelot.Configuration.Parser.IClaimToThingConfigurationParser' Ocelot.Configuration.Repository.DiskFileConfigurationRepository' Ocelot.Configuration.Repository.IFileConfigurationPollerOptions' Ocelot.Configuration.Repository.IFileConfigurationRepository' Ocelot.Configuration.Repository.IInternalConfigurationRepository' Ocelot.Configuration.Repository.InMemoryFileConfigurationPollerOptions' Ocelot.Configuration.Repository.InMemoryInternalConfigurationRepository' Ocelot.Configuration.Setter.FileAndInternalConfigurationSetter' Ocelot.Configuration.Setter.IFileConfigurationSetter' Ocelot.Configuration.Validator.FileConfigurationFluentValidator' Ocelot.Configuration.Validator.FileGlobalConfigurationFluentValidator' Ocelot.Configuration.Validator.FileQoSOptionsFluentValidator' Ocelot.Configuration.Validator.HostAndPortValidator' Ocelot.Configuration.Validator.IConfigurationValidator' Ocelot.Configuration.Validator.RouteFluentValidator' Ocelot.DependencyInjection.IOcelotBuilder' Ocelot.PathManipulation.ChangeDownstreamPathTemplate' Ocelot.PathManipulation.IChangeDownstreamPathTemplate' Ocelot.DownstreamRouteFinder.Finder.DownstreamRouteCreator' Ocelot.DownstreamRouteFinder.Finder.DownstreamRouteFinder' Ocelot.DownstreamRouteFinder.Finder.DownstreamRouteProviderFactory' Ocelot.DownstreamRouteFinder.Finder.IDownstreamRouteProvider' Ocelot.DownstreamRouteFinder.Finder.IDownstreamRouteProviderFactory' Ocelot.DownstreamRouteFinder.UrlMatcher.IPlaceholderNameAndValueFinder' Ocelot.DownstreamRouteFinder.UrlMatcher.IUrlPathToUrlTemplateMatcher' Ocelot.DownstreamRouteFinder.UrlMatcher.RegExUrlMatcher' Ocelot.DownstreamRouteFinder.UrlMatcher.UrlPathPlaceholderNameAndValueFinder' Ocelot.DownstreamUrlCreator.UrlTemplateReplacer.DownstreamTemplatePathPlaceholderReplacer' Ocelot.DownstreamUrlCreator.UrlTemplateReplacer.IDownstreamPathPlaceholderReplacer' Ocelot.Headers.AddHeadersToRequest' Ocelot.Headers.AddHeadersToResponse' Ocelot.Headers.HttpContextRequestHeaderReplacer' Ocelot.Headers.HttpResponseHeaderReplacer' Ocelot.Headers.IAddHeadersToRequest' Ocelot.Headers.IAddHeadersToResponse' Ocelot.Headers.IHttpContextRequestHeaderReplacer' Ocelot.Headers.IHttpResponseHeaderReplacer' Ocelot.Headers.IRemoveOutputHeaders' Ocelot.Headers.RemoveOutputHeaders' Ocelot.Infrastructure.ConfigAwarePlaceholders' Ocelot.Infrastructure.FrameworkDescription' Ocelot.Infrastructure.IFrameworkDescription' Ocelot.Infrastructure.IPlaceholders' Ocelot.Infrastructure.Placeholders' Ocelot.Infrastructure.Claims.Parser.ClaimsParser' Ocelot.Infrastructure.Claims.Parser.IClaimsParser' Ocelot.Infrastructure.RequestData.HttpDataRepository' Ocelot.Infrastructure.RequestData.IRequestScopedDataRepository' Ocelot.LoadBalancer.LoadBalancers.CookieStickySessionsCreator' Ocelot.LoadBalancer.LoadBalancers.DelegateInvokingLoadBalancerCreator<T>' Ocelot.LoadBalancer.LoadBalancers.ILoadBalancer' Ocelot.LoadBalancer.LoadBalancers.ILoadBalancerCreator' Ocelot.LoadBalancer.LoadBalancers.ILoadBalancerFactory' Ocelot.LoadBalancer.LoadBalancers.ILoadBalancerHouse' Ocelot.LoadBalancer.LoadBalancers.LeastConnectionCreator' Ocelot.LoadBalancer.LoadBalancers.LoadBalancerFactory' Ocelot.LoadBalancer.LoadBalancers.LoadBalancerHouse' Ocelot.LoadBalancer.LoadBalancers.NoLoadBalancerCreator' Ocelot.LoadBalancer.LoadBalancers.RoundRobinCreator' Ocelot.Logging.AspDotNetLoggerFactory' Ocelot.Logging.IOcelotLoggerFactory' Ocelot.Logging.OcelotDiagnosticListener' Ocelot.Middleware.BaseUrlFinder' Ocelot.Middleware.IBaseUrlFinder' Ocelot.Multiplexer.IDefinedAggregator' Ocelot.Multiplexer.IDefinedAggregatorProvider' Ocelot.Multiplexer.InMemoryResponseAggregatorFactory' Ocelot.Multiplexer.IResponseAggregator' Ocelot.Multiplexer.IResponseAggregatorFactory' Ocelot.Multiplexer.ServiceLocatorDefinedAggregatorProvider' Ocelot.Multiplexer.SimpleJsonResponseAggregator' Ocelot.QueryStrings.AddQueriesToRequest' Ocelot.QueryStrings.IAddQueriesToRequest' Ocelot.RateLimit.IRateLimitCounterHandler' Ocelot.RateLimit.MemoryCacheRateLimitCounterHandler' Ocelot.Requester.DelegatingHandlerHandlerFactory' Ocelot.Requester.GlobalDelegatingHandler' Ocelot.Requester.HttpClientHttpRequester' Ocelot.Requester.HttpExeptionToErrorMapper' Ocelot.Requester.IDelegatingHandlerHandlerFactory' Ocelot.Requester.IExceptionToErrorMapper' Ocelot.Requester.IHttpClientCache' Ocelot.Requester.IHttpRequester' Ocelot.Requester.ITracingHandlerFactory' Ocelot.Requester.MemoryHttpClientCache' Ocelot.Requester.TracingHandlerFactory' Ocelot.Requester.QoS.IQoSFactory' Ocelot.Requester.QoS.QoSFactory' Ocelot.Request.Creator.DownstreamRequestCreator' Ocelot.Request.Creator.IDownstreamRequestCreator' Ocelot.Request.Mapper.IRequestMapper' Ocelot.Request.Mapper.RequestMapper' Ocelot.Responder.ErrorsToHttpStatusCodeMapper' Ocelot.Responder.HttpContextResponder' Ocelot.Responder.IErrorsToHttpStatusCodeMapper' Ocelot.Responder.IHttpResponder' Ocelot.Security.IPSecurity.IPSecurityPolicy' Ocelot.Security.ISecurityPolicy' Ocelot.ServiceDiscovery.IServiceDiscoveryProviderFactory' Ocelot.ServiceDiscovery.ServiceDiscoveryProviderFactory' Ocelot.ServiceDiscovery.Providers.IServiceDiscoveryProvider
Global State,Ocelot.DependencyInjection,ServiceCollectionExtensions,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DependencyInjection\ServiceCollectionExtensions.cs,The tool detected the smell in this class because the class can be accessed as a `global` state.
Excessive Dependency,Ocelot.PathManipulation,ChangeDownstreamPathTemplate,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DownstreamPathManipulation\ChangeDownstreamPathTemplate.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Configuration.ClaimToThing' Ocelot.PathManipulation.IChangeDownstreamPathTemplate' Ocelot.DownstreamRouteFinder.UrlMatcher.PlaceholderNameAndValue' Ocelot.Infrastructure.CouldNotFindPlaceholderError' Ocelot.Infrastructure.Claims.Parser.IClaimsParser' Ocelot.Responses.ErrorResponse' Ocelot.Responses.OkResponse' Ocelot.Responses.Response' Ocelot.Values.DownstreamPathTemplate
Global State,Ocelot.DownstreamPathManipulation.Middleware,ClaimsToDownstreamPathMiddlewareExtensions,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DownstreamPathManipulation\Middleware\ClaimsToDownstreamPathMiddlewareExtensions.cs,The tool detected the smell in this class because the class can be accessed as a `global` state.
Hard-wired Dependency,Ocelot.DownstreamRouteFinder.Finder,DownstreamRouteCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DownstreamRouteFinder\Finder\DownstreamRouteCreator.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.Configuration.Builder.UpstreamPathTemplateBuilder' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Configuration.Builder.RouteBuilder
Excessive Dependency,Ocelot.DownstreamRouteFinder.Finder,DownstreamRouteCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DownstreamRouteFinder\Finder\DownstreamRouteCreator.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Configuration.IInternalConfiguration' Ocelot.Configuration.LoadBalancerOptions' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Configuration.Builder.RouteBuilder' Ocelot.Configuration.Builder.UpstreamPathTemplateBuilder' Ocelot.Configuration.Creator.IQoSOptionsCreator' Ocelot.DownstreamRouteFinder.DownstreamRouteHolder' Ocelot.DownstreamRouteFinder.Finder.IDownstreamRouteProvider' Ocelot.DownstreamRouteFinder.UrlMatcher.PlaceholderNameAndValue' Ocelot.LoadBalancer.LoadBalancers.CookieStickySessions' Ocelot.Responses.OkResponse<T>' Ocelot.Responses.Response<T>
Law of Demeter violation,Ocelot.DownstreamRouteFinder.Finder,DownstreamRouteCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DownstreamRouteFinder\Finder\DownstreamRouteCreator.cs,The tool detected the smell in this method (Get) because the method voilates the law of Demeter. The long chain of method invocations is : Ocelot.Configuration.Builder.UpstreamPathTemplateBuilder.WithOriginalValue' Ocelot.Configuration.Builder.UpstreamPathTemplateBuilder.Build
