Implementation smell,Namespace,Class,File,Method,Description
Magic Number,Ocelot.IntegrationTests,CacheManagerTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\CacheManagerTests.cs,should_clear_region,The following statement contains a magic number: var initialConfiguration = new FileConfiguration              {                  GlobalConfiguration = new FileGlobalConfiguration                  {                  }'                  Routes = new List<FileRoute>()                  {                      new FileRoute()                      {                          DownstreamHostAndPorts = new List<FileHostAndPort>                          {                              new FileHostAndPort                              {                                  Host = "localhost"'                                  Port = 80'                              }'                          }'                          DownstreamScheme = "https"'                          DownstreamPathTemplate = "/"'                          UpstreamHttpMethod = new List<string> { "get" }'                          UpstreamPathTemplate = "/"'                          FileCacheOptions = new FileCacheOptions                          {                              TtlSeconds = 10'                          }'                      }'                      new FileRoute()                      {                          DownstreamHostAndPorts = new List<FileHostAndPort>                          {                              new FileHostAndPort                              {                                  Host = "localhost"'                                  Port = 80'                              }'                          }'                          DownstreamScheme = "https"'                          DownstreamPathTemplate = "/"'                          UpstreamHttpMethod = new List<string> { "get" }'                          UpstreamPathTemplate = "/test"'                          FileCacheOptions = new FileCacheOptions                          {                              TtlSeconds = 10'                          }'                      }'                  }'              };
Magic Number,Ocelot.IntegrationTests,CacheManagerTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\CacheManagerTests.cs,should_clear_region,The following statement contains a magic number: var initialConfiguration = new FileConfiguration              {                  GlobalConfiguration = new FileGlobalConfiguration                  {                  }'                  Routes = new List<FileRoute>()                  {                      new FileRoute()                      {                          DownstreamHostAndPorts = new List<FileHostAndPort>                          {                              new FileHostAndPort                              {                                  Host = "localhost"'                                  Port = 80'                              }'                          }'                          DownstreamScheme = "https"'                          DownstreamPathTemplate = "/"'                          UpstreamHttpMethod = new List<string> { "get" }'                          UpstreamPathTemplate = "/"'                          FileCacheOptions = new FileCacheOptions                          {                              TtlSeconds = 10'                          }'                      }'                      new FileRoute()                      {                          DownstreamHostAndPorts = new List<FileHostAndPort>                          {                              new FileHostAndPort                              {                                  Host = "localhost"'                                  Port = 80'                              }'                          }'                          DownstreamScheme = "https"'                          DownstreamPathTemplate = "/"'                          UpstreamHttpMethod = new List<string> { "get" }'                          UpstreamPathTemplate = "/test"'                          FileCacheOptions = new FileCacheOptions                          {                              TtlSeconds = 10'                          }'                      }'                  }'              };
Magic Number,Ocelot.IntegrationTests,CacheManagerTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\CacheManagerTests.cs,should_clear_region,The following statement contains a magic number: var initialConfiguration = new FileConfiguration              {                  GlobalConfiguration = new FileGlobalConfiguration                  {                  }'                  Routes = new List<FileRoute>()                  {                      new FileRoute()                      {                          DownstreamHostAndPorts = new List<FileHostAndPort>                          {                              new FileHostAndPort                              {                                  Host = "localhost"'                                  Port = 80'                              }'                          }'                          DownstreamScheme = "https"'                          DownstreamPathTemplate = "/"'                          UpstreamHttpMethod = new List<string> { "get" }'                          UpstreamPathTemplate = "/"'                          FileCacheOptions = new FileCacheOptions                          {                              TtlSeconds = 10'                          }'                      }'                      new FileRoute()                      {                          DownstreamHostAndPorts = new List<FileHostAndPort>                          {                              new FileHostAndPort                              {                                  Host = "localhost"'                                  Port = 80'                              }'                          }'                          DownstreamScheme = "https"'                          DownstreamPathTemplate = "/"'                          UpstreamHttpMethod = new List<string> { "get" }'                          UpstreamPathTemplate = "/test"'                          FileCacheOptions = new FileCacheOptions                          {                              TtlSeconds = 10'                          }'                      }'                  }'              };
Magic Number,Ocelot.IntegrationTests,CacheManagerTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\CacheManagerTests.cs,should_clear_region,The following statement contains a magic number: var initialConfiguration = new FileConfiguration              {                  GlobalConfiguration = new FileGlobalConfiguration                  {                  }'                  Routes = new List<FileRoute>()                  {                      new FileRoute()                      {                          DownstreamHostAndPorts = new List<FileHostAndPort>                          {                              new FileHostAndPort                              {                                  Host = "localhost"'                                  Port = 80'                              }'                          }'                          DownstreamScheme = "https"'                          DownstreamPathTemplate = "/"'                          UpstreamHttpMethod = new List<string> { "get" }'                          UpstreamPathTemplate = "/"'                          FileCacheOptions = new FileCacheOptions                          {                              TtlSeconds = 10'                          }'                      }'                      new FileRoute()                      {                          DownstreamHostAndPorts = new List<FileHostAndPort>                          {                              new FileHostAndPort                              {                                  Host = "localhost"'                                  Port = 80'                              }'                          }'                          DownstreamScheme = "https"'                          DownstreamPathTemplate = "/"'                          UpstreamHttpMethod = new List<string> { "get" }'                          UpstreamPathTemplate = "/test"'                          FileCacheOptions = new FileCacheOptions                          {                              TtlSeconds = 10'                          }'                      }'                  }'              };
Magic Number,Ocelot.IntegrationTests,HeaderTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\HeaderTests.cs,should_pass_remote_ip_address_if_as_x_forwarded_for_header,The following statement contains a magic number: var configuration = new FileConfiguration              {                  Routes = new List<FileRoute>                  {                      new FileRoute                      {                          DownstreamPathTemplate = "/"'                          DownstreamScheme = "http"'                          DownstreamHostAndPorts = new List<FileHostAndPort>                          {                              new FileHostAndPort                              {                                  Host = "localhost"'                                  Port = 6773'                              }                          }'                          UpstreamPathTemplate = "/"'                          UpstreamHttpMethod = new List<string> { "Get" }'                          UpstreamHeaderTransform = new Dictionary<string'string>                          {                              {"X-Forwarded-For"' "{RemoteIpAddress}"}                          }'                          HttpHandlerOptions = new FileHttpHandlerOptions                          {                              AllowAutoRedirect = false                          }                      }                  }              };
Magic Number,Ocelot.IntegrationTests,HeaderTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\HeaderTests.cs,should_pass_remote_ip_address_if_as_x_forwarded_for_header,The following statement contains a magic number: this.Given(x => GivenThereIsAServiceRunningOn("http://localhost:6773"' 200' "X-Forwarded-For"))                  .And(x => GivenThereIsAConfiguration(configuration))                  .And(x => GivenOcelotIsRunning())                  .When(x => WhenIGetUrlOnTheApiGateway("/"))                  .Then(x => ThenTheStatusCodeShouldBe(HttpStatusCode.OK))                  .And(x => ThenXForwardedForIsSet())                  .BDDfy();
Magic Number,Ocelot.IntegrationTests,ThreadSafeHeadersTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\ThreadSafeHeadersTests.cs,should_return_same_response_for_each_different_header_under_load_to_downsteam_service,The following statement contains a magic number: var configuration = new FileConfiguration              {                  Routes = new List<FileRoute>                      {                          new FileRoute                          {                              DownstreamPathTemplate = "/"'                              DownstreamScheme = "http"'                              DownstreamHostAndPorts = new List<FileHostAndPort>                              {                                  new FileHostAndPort                                  {                                      Host = "localhost"'                                      Port = 51611'                                  }'                              }'                              UpstreamPathTemplate = "/"'                              UpstreamHttpMethod = new List<string> { "Get" }'                          }'                      }'              };
Magic Number,Ocelot.IntegrationTests,ThreadSafeHeadersTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\ThreadSafeHeadersTests.cs,should_return_same_response_for_each_different_header_under_load_to_downsteam_service,The following statement contains a magic number: this.Given(x => GivenThereIsAConfiguration(configuration))                  .And(x => GivenThereIsAServiceRunningOn("http://localhost:51611"))                  .And(x => GivenOcelotIsRunning())                  .When(x => WhenIGetUrlOnTheApiGatewayMultipleTimesWithDifferentHeaderValues("/"' 300))                  .Then(x => ThenTheSameHeaderValuesAreReturnedByTheDownstreamService())                  .BDDfy();
Magic Number,Ocelot.IntegrationTests,ThreadSafeHeadersTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\ThreadSafeHeadersTests.cs,GivenThereIsAServiceRunningOn,The following statement contains a magic number: _downstreamBuilder = new WebHostBuilder()                  .UseUrls(url)                  .UseKestrel()                  .UseContentRoot(Directory.GetCurrentDirectory())                  .UseIISIntegration()                  .UseUrls(url)                  .Configure(app =>                  {                      app.Run(async context =>                      {                          var header = context.Request.Headers["ThreadSafeHeadersTest"];                            context.Response.StatusCode = 200;                          await context.Response.WriteAsync(header[0]);                      });                  })                  .Build();
Magic Number,Ocelot.IntegrationTests,ThreadSafeHeadersTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\ThreadSafeHeadersTests.cs,WhenIGetUrlOnTheApiGatewayMultipleTimesWithDifferentHeaderValues,The following statement contains a magic number: var random = _random.Next(0' 50);
