Namespace,Type,Method,LOC,CC,PC
WeText.Web.Models,WebApiUserStore,AuthenticateAsync,10,1,2
WeText.Web.Models,WebApiUserStore,Dispose,5,2,1
WeText.Web.Models,WebApiUserStore,GetPasswordHashAsync,3,1,1
WeText.Web.Models,WebApiUserStore,HasPasswordAsync,3,1,1
WeText.Web.Models,WebApiUserStore,SetPasswordHashAsync,3,1,2
WeText.Web.Models,WebApiUserStore,FindByEmailAsync,27,2,1
WeText.Web.Models,WebApiUserStore,GetEmailAsync,3,1,1
WeText.Web.Models,WebApiUserStore,GetEmailConfirmedAsync,3,1,1
WeText.Web.Models,WebApiUserStore,SetEmailAsync,3,1,2
WeText.Web.Models,WebApiUserStore,SetEmailConfirmedAsync,3,1,2
WeText.Web.Models,WebApiUserStore,CreateAsync,15,1,1
WeText.Web.Models,WebApiUserStore,DeleteAsync,4,1,1
WeText.Web.Models,WebApiUserStore,FindByIdAsync,21,2,1
WeText.Web.Models,WebApiUserStore,FindByNameAsync,25,3,1
WeText.Web.Models,WebApiUserStore,UpdateAsync,10,1,1
WeText.Web.Models,WebApiUserStore,GetAccessFailedCountAsync,9,1,1
WeText.Web.Models,WebApiUserStore,GetLockoutEnabledAsync,3,1,1
WeText.Web.Models,WebApiUserStore,GetLockoutEndDateAsync,12,1,1
WeText.Web.Models,WebApiUserStore,IncrementAccessFailedCountAsync,8,1,1
WeText.Web.Models,WebApiUserStore,ResetAccessFailedCountAsync,7,1,1
WeText.Web.Models,WebApiUserStore,SetLockoutEnabledAsync,3,1,2
WeText.Web.Models,WebApiUserStore,SetLockoutEndDateAsync,10,1,2
WeText.Web.Models,WebApiUserStore,GetTwoFactorEnabledAsync,3,1,1
WeText.Web.Models,WebApiUserStore,SetTwoFactorEnabledAsync,3,1,2
WeText.Web.Models,WebApiUserStore,GetPhoneNumberAsync,3,1,1
WeText.Web.Models,WebApiUserStore,GetPhoneNumberConfirmedAsync,3,1,1
WeText.Web.Models,WebApiUserStore,SetPhoneNumberAsync,3,1,2
WeText.Web.Models,WebApiUserStore,SetPhoneNumberConfirmedAsync,3,1,2
WeText.Web.Models,WebApiUserStore,AddLoginAsync,3,1,2
WeText.Web.Models,WebApiUserStore,FindAsync,3,1,1
WeText.Web.Models,WebApiUserStore,GetLoginsAsync,3,1,1
WeText.Web.Models,WebApiUserStore,RemoveLoginAsync,3,1,2
